state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Guava,Guava Allahabad,Local,01/03/2026,7000.0,8000.0,7500.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Pomegranate,Pomogranate,Local,01/03/2026,15000.0,18000.0,16500.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Turnip,Turnip,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),Amla,Local,01/03/2026,5000.0,6000.0,5500.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,01/03/2026,6000.0,7000.0,6500.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Garlic,Garlic,Local,01/03/2026,15000.0,16000.0,15500.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Green Peas,Green Peas,Local,01/03/2026,5000.0,6000.0,5500.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,4000.0,4400.0,4200.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Banana - Green,Banana - Green,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Chow Chow,Chow Chow,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Pomegranate,Pomogranate,Local,01/03/2026,18000.0,20000.0,19000.0
Tamil Nadu,Salem,Thathakapatti(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Banana,Karpura,Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,01/03/2026,2600.0,3000.0,2800.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Tomato,Other,Local,01/03/2026,800.0,1200.0,1000.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Pumpkin,Pumpkin,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,01/03/2026,2600.0,3000.0,2800.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,01/03/2026,5000.0,5500.0,5250.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Beetroot,Beetroot,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Cucumbar(Kheera),Cucumbar,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Thondekai,Thondekai,Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Capsicum,Capsicum,Local,01/03/2026,6500.0,7000.0,6750.0
Tamil Nadu,Salem,Mettur(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,01/03/2026,6000.0,6500.0,6250.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,01/03/2026,3600.0,4000.0,3800.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,01/03/2026,1200.0,1500.0,1350.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Amaranthus,Amaranthus,Local,01/03/2026,2000.0,2400.0,2200.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,5000.0,5600.0,5300.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,3000.0,4000.0,3500.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,01/03/2026,3000.0,3200.0,3100.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Pumpkin,Pumpkin,Local,01/03/2026,1800.0,2000.0,1900.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Knool Khol,Knool Khol,Local,01/03/2026,4000.0,4400.0,4200.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Marigold(Calcutta),Marigold(Calcutta),Local,01/03/2026,6000.0,7000.0,6500.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Colacasia,Colacasia,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Garlic,Garlic,Local,01/03/2026,14000.0,15000.0,14500.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,1800.0,2000.0,1900.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Tapioca,Tapioca,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),Amla,Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Banana,Karpura,Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Cowpea(Veg),Cowpea (Veg),Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,01/03/2026,7000.0,8000.0,7500.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,01/03/2026,4000.0,5000.0,4500.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Green Avare(W),Other,Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,3500.0,3800.0,3650.0
Tamil Nadu,Salem,Jalagandapuram(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,01/03/2026,6000.0,6500.0,6250.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,01/03/2026,3000.0,4000.0,3500.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Tomato,Other,Local,01/03/2026,1000.0,1500.0,1250.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Ashgourd,Gouard,Local,01/03/2026,1500.0,1800.0,1650.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,01/03/2026,6000.0,8000.0,7000.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,01/03/2026,3800.0,4200.0,4000.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Bitter gourd,Other,Local,01/03/2026,3200.0,3600.0,3400.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,2000.0,2600.0,2300.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Banana - Green,Banana - Green,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,01/03/2026,8200.0,9200.0,8700.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,01/03/2026,1600.0,2200.0,1900.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Beetroot,Beetroot,Local,01/03/2026,3200.0,3800.0,3500.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,3200.0,4200.0,3700.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Raddish,Raddish,Local,01/03/2026,2000.0,2200.0,2100.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,Local,01/03/2026,5600.0,6200.0,5900.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,01/03/2026,5600.0,6200.0,5900.0
Tamil Nadu,Sivaganga,Sivagangai (Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2600.0,3200.0,2900.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,3000.0,3800.0,3400.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,3000.0,3200.0,3100.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,01/03/2026,2000.0,2400.0,2200.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,01/03/2026,5000.0,5800.0,5400.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2800.0,3200.0,3000.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,01/03/2026,2400.0,2800.0,2600.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,01/03/2026,3200.0,3400.0,3300.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,2400.0,2800.0,2600.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Pumpkin,Pumpkin,Local,01/03/2026,2200.0,2400.0,2300.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,3000.0,3400.0,3200.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,01/03/2026,4800.0,5400.0,5100.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,01/03/2026,8500.0,9500.0,9000.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,01/03/2026,4000.0,4400.0,4200.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,01/03/2026,1800.0,2400.0,2100.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,3400.0,4000.0,3700.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,4000.0,4400.0,4200.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,01/03/2026,9500.0,10500.0,10000.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,4200.0,4500.0,4350.0
Tamil Nadu,Sivaganga,Tirupatthur(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Sivaganga,Tirupatthur(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Sivaganga,Tirupatthur(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,01/03/2026,3000.0,4500.0,3750.0
Tamil Nadu,Sivaganga,Tirupatthur(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Sivaganga,Singampunari(Uzhavar Sandhai ) APMC,Banana,Poovan,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Sivaganga,Singampunari(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Sivaganga,Singampunari(Uzhavar Sandhai ) APMC,Banana - Green,Banana - Green,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Sivaganga,Singampunari(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Sivaganga,Singampunari(Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,01/03/2026,6000.0,6500.0,6250.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Mousambi(Sweet Lime),Mousambi,Local,01/03/2026,6600.0,6600.0,6600.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,6000.0,6000.0,6000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,2600.0,2600.0,2600.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Banana - Green,Banana - Green,Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Capsicum,Capsicum,Local,01/03/2026,7000.0,7000.0,7000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Chow Chow,Chow Chow,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Drumstick,Drumstick,Local,01/03/2026,11000.0,11000.0,11000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Pomegranate,Pomogranate,Local,01/03/2026,20000.0,20000.0,20000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Indian Beans(Seam),Indian Beans (Seam),Local,01/03/2026,6600.0,6600.0,6600.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Mashrooms,Mashrooms,Local,01/03/2026,25000.0,25000.0,25000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,01/03/2026,7000.0,7000.0,7000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Orange,Darjeeling,Local,01/03/2026,10000.0,10000.0,10000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Rose(Local),Rose (Local),Local,01/03/2026,20000.0,30000.0,25000.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,4400.0,4400.0,4400.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Amaranthus,Amaranthus,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,01/03/2026,4800.0,4800.0,4800.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,01/03/2026,2200.0,2200.0,2200.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,01/03/2026,8000.0,8000.0,8000.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Thanjavur,Pattukottai(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,01/03/2026,3500.0,3500.0,3500.0
Tamil Nadu,Thanjavur,Tirukattupalli(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,01/03/2026,3600.0,3600.0,3600.0
Tamil Nadu,Thanjavur,Tirukattupalli(Uzhavar Sandhai ) APMC,Ashgourd,Gouard,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Potato,Other,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Amaranthus,Amaranthus,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,01/03/2026,4000.0,4400.0,4200.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,01/03/2026,6000.0,6400.0,6200.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Sweet Potato,Hosur Red,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Beetroot,Beetroot,Local,01/03/2026,1800.0,1800.0,1800.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Raddish,Raddish,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,01/03/2026,5500.0,5800.0,5650.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Drumstick,Drumstick,Local,01/03/2026,5000.0,8000.0,6500.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Turnip,Turnip,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,01/03/2026,3000.0,3500.0,3250.0
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,2500.0,2700.0,2600.0
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ) APMC,Cucumbar(Kheera),Cucumbar,Local,01/03/2026,1200.0,1200.0,1200.0
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ) APMC,Capsicum,Capsicum,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Tomato,Other,Local,01/03/2026,1400.0,1400.0,1400.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,3600.0,3600.0,3600.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Tapioca,Tapioca,Local,01/03/2026,2400.0,2400.0,2400.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Beetroot,Beetroot,Local,01/03/2026,1800.0,1800.0,1800.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Knool Khol,Knool Khol,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,01/03/2026,2400.0,2400.0,2400.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Amaranthus,Amaranthus,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,01/03/2026,5300.0,5300.0,5300.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,01/03/2026,1800.0,1800.0,1800.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,01/03/2026,1800.0,2800.0,2300.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Thondekai,Thondekai,Local,01/03/2026,1800.0,1800.0,1800.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),Amla,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Mint(Pudina),Mint(Pudina),Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ) APMC,Tomato,Local,Local,01/03/2026,1400.0,1400.0,1400.0
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,01/03/2026,4200.0,4200.0,4200.0
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ) APMC,Green Avare(W),Other,Local,01/03/2026,6400.0,6400.0,6400.0
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,01/03/2026,8500.0,8500.0,8500.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,01/03/2026,5000.0,6000.0,5500.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,01/03/2026,5600.0,6000.0,5800.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Cucumbar(Kheera),Cucumbar,Local,01/03/2026,2500.0,3500.0,3000.0
